denmark,capital-region,central-jutland,north-jutland,south-denmark,zealand
capital-region,akirkeby,allingabro,aalborg,aabenraa,asnaes
central-jutland,albertslund,arhus,aars,arslev,bjaeverskov
north-jutland,ballerup,assentoft,abybro,arup,borup
south-denmark,birkerod,auning,alestrup,assens,dianalund
zealand,blovstrod,avlum,arden,augustenborg,ejby
,charlottenlund,beder,bronderslev,bellinge,fakse
,copenhagen,bjerringbro,brovst,billund,fakse-ladeplads
,dragor,bording-kirkeby,dronninglund,bogense,fensmark
,espergaerde,braedstrup,farso,borkop,forlev
,farum,brande,fjerritslev,bramming,frederiksberg
,flong,ebeltoft,frederikshavn,brejning,fuglebjerg
,fredensborg,framlev,frejlev,broager,gorlev
,frederiksberg,galten,gistrup,brorup,greve
,frederikssund,gjellerup-kirkeby,hadsund,bullerup,gundsomagle
,frederiksvaerk,grenaa,hals,christiansfeld,harlev
,ganlose,hadsten,hanstholm,dybbol,haslev
,gilleleje,hammel,hirtshals,egtved,havdrup
,glostrup,hammerum,hjallerup,ejby,holbaek
,graested,harboore,hjorring,esbjerg,holeby
,hellebaek,hedensted,hobro,faaborg,hong
,helsinge,herning,hurup,fredericia,horve
,helsingor,hinnerup,kas,give,jyderup
,hillerod,hjortshoj,klarup,glamsbjerg,jyllinge
,hornbaek,hojslev,logstor,gram,kalundborg
,horsholm,holstebro,mariager,grasten,koge
,humlebaek,horning,nibe,grindsted,korsor
,hundested,hornslet,nykobing-mors,guderup,lejre
,hvidovre,horsens,pandrup,haderslev,maribo
,ishoj,hvide-sande,saeby,harby,naestved
,jaegerspris,ikast,sindal,hojby,nakskov
,kongens-lyngby,juelsminde,skagen,holsted,neder-vindinge
,lillerod,karup,skorping,horuphav,norre-alslev
,liseleje,kibaek,storvorde,jelling,norre-hvalso
,lynge,kjellerup,stovring,kerteminde,nykobing-falster
,malov,kolt,strandby,kolding,nykobing-sjaelland
,nexo,langa,svenstrup,krusa,nyrad
,niva,lemvig,tars,langeskov,orslev
,nodebo,lind,thisted,logumkloster,osted
,olstykke,logten,vadum,lojt-kirkeby,praesto
,rodovre,lystrup,vestbjerg,lunderskov,ringsted
,ronne,malling,vester-hassing,marstal,rodby
,skibby,marslet,vodskov,middelfart,rodbyhavn
,slangerup,odder,vra,munkebo,ronnede
,smorumnedre,randers,,neder-holluf,roskilde
,stavnsholt,ringkobing,,nordborg,sakskobing
,stenlose,ronde,,nordby,skaelskor
,taastrup,ry,,norre-aby,slagelse
,tarnby,ryomgard,,nyborg,solrod
,trorod,sabro,,odense,solrod-strand
,vaerlose,silkeborg,,oksbol,soro
,vallensbaek,skanderborg,,olgod,stege
,vekso,skive,,otterup,stenlille
,,skjern,,padborg,store-heddinge
,,skovby,,ribe,stroby-egede
,,snejbjerg,,ringe,stubbekobing
,,soften,,rodding,sundby
,,solbjerg,,rodekro,svebolle
,,spentrup,,rudkobing,svinninge
,,stavtrup,,seden,svogerslev
,,stilling,,sherrebek,tollose
,,stoholm,,snoghoj,tune
,,struer,,sonder-bjert,viby
,,sunds,,sonderborg,vindinge
,,svejbaek,,sonderso,vipperod
,,tarm,,starup,vordingborg
,,thyboron,,stige,
,,torring,,strib,
,,tranbjerg,,svendborg,
,,trige,,taulov,
,,ulfborg,,thuro-by,
,,ulstrup,,tinglev,
,,viborg,,tjaereborg,
,,videbaek,,toftlund,
,,vildbjerg,,tommerup,
,,vinderup,,tonder,
,,virklund,,ullerslev,
,,,,vamdrup,
,,,,varde,
,,,,vejen,
,,,,vejle,
,,,,vindeby,
,,,,vissenbjerg,
,,,,vojens,
